"","time","t","S","E","I","R"
"231",231,231,5761948.36371913,9.50574153403956e-12,2.30578408416117e-09,46434432.6362808
"232",232,232,5761948.36371913,8.04687768428979e-12,1.94094355305649e-09,46434432.6362808
"233",233,233,5761948.36371913,6.8180904164272e-12,1.6340150617489e-09,46434432.6362808
"234",234,234,5761948.36371913,5.77974343212324e-12,1.37578702648071e-09,46434432.6362808
"235",235,235,5761948.36371913,4.90230497804728e-12,1.15851621690205e-09,46434432.6362808
"236",236,236,5761948.36371913,4.16735911598633e-12,9.75720205578064e-10,46434432.6362808
"237",237,237,5761948.36371913,3.52365363087369e-12,8.21823838613898e-10,46434432.6362808
"238",238,238,5761948.36371913,2.97398633344192e-12,6.92226168843605e-10,46434432.6362808
"239",239,239,5761948.36371913,2.50580110627638e-12,5.83068730350888e-10,46434432.6362808
"240",240,240,5761948.36371913,2.10990618268659e-12,4.91121255286202e-10,46434432.6362808
"241",241,241,5761948.36371913,1.77643337550665e-12,4.13670408011772e-10,46434432.6362808
"242",242,242,5761948.36371913,1.49601363325017e-12,3.48432593843056e-10,46434432.6362808
"243",243,243,5761948.36371913,1.26048673448398e-12,2.93484758430994e-10,46434432.6362808
"244",244,244,5761948.36371913,1.0612290400832e-12,2.47200218111579e-10,46434432.6362808
"245",245,245,5761948.36371913,8.91962674972377e-13,2.08207190772307e-10,46434432.6362808
"246",246,246,5761948.36371913,7.49191015314994e-13,1.75356288449509e-10,46434432.6362808
"247",247,247,5761948.36371913,6.29430007624654e-13,1.47682169676236e-10,46434432.6362808
"248",248,248,5761948.36371913,5.29155728398717e-13,1.24371596192817e-10,46434432.6362808
"249",249,249,5761948.36371913,4.44786816989907e-13,1.04736932471076e-10,46434432.6362808
"250",250,250,5761948.36371913,3.74075718582556e-13,8.81999760602375e-11,46434432.6362808
"251",251,251,5761948.36371913,3.14769188138609e-13,7.42730388028025e-11,46434432.6362808
"252",252,252,5761948.36371913,2.64719670126404e-13,6.25437554012151e-11,46434432.6362808
"253",253,253,5761948.36371913,2.22808626393312e-13,5.26663345190648e-11,46434432.6362808
"254",254,254,5761948.36371913,1.87499367396985e-13,4.43483340415817e-11,46434432.6362808
"255",255,255,5761948.36371913,1.5779417326912e-13,3.73436790832579e-11,46434432.6362808
"256",256,256,5761948.36371913,1.32618510631212e-13,3.14443382447373e-11,46434432.6362808
"257",257,257,5761948.36371913,1.11487423908174e-13,2.64761937323390e-11,46434432.6362808
"258",258,258,5761948.36371913,9.36726882389973e-14,2.22921793443651e-11,46434432.6362808
"259",259,259,5761948.36371913,7.86696800198767e-14,1.87685345780297e-11,46434432.6362808
