"","time","t","S","E","I","R"
"326",326,326,1880751.00830607,1.387172277064e-09,7.591591519834e-08,50315629.9916938
"327",327,327,1880751.00830607,1.22071052240007e-09,6.75890966011778e-08,50315629.9916938
"328",328,328,1880751.00830607,1.077542106762e-09,6.01737420657059e-08,50315629.9916938
"329",329,329,1880751.00830607,9.43347226448105e-10,5.35692551488168e-08,50315629.9916939
"330",330,330,1880751.00830607,8.31521884790469e-10,4.76872279438872e-08,50315629.9916939
"331",331,331,1880751.00830607,7.44789594270463e-10,4.24508730231153e-08,50315629.9916939
"332",332,332,1880751.00830607,6.72481943050618e-10,3.77910246426714e-08,50315629.9916939
"333",333,333,1880751.00830607,6.05543341493013e-10,3.36441657530096e-08,50315629.9916939
"334",334,334,1880751.00830607,5.46909051357773e-10,2.99536312844385e-08,50315629.9916939
"335",335,335,1880751.00830607,4.98891724540053e-10,2.66698849337458e-08,50315629.9916939
"336",336,336,1880751.00830607,4.54673378016771e-10,2.3748400529816e-08,50315629.9916939
"337",337,337,1880751.00830607,4.09066188971017e-10,2.11481103373388e-08,50315629.9916939
"338",338,338,1880751.00830607,3.68762844438027e-10,1.88335442852432e-08,50315629.9916939
"339",339,339,1880751.00830607,3.27293687551482e-10,1.67723881112555e-08,50315629.9916939
"340",340,340,1880751.00830607,2.9351697136754e-10,1.49369429646939e-08,50315629.9916939
"341",341,341,1880751.00830607,2.64277716906726e-10,1.33028615819507e-08,50315629.9916939
"342",342,342,1880751.00830607,2.37339078161671e-10,1.18480004047627e-08,50315629.9916939
"343",343,343,1880751.00830607,2.1271422099055e-10,1.05525389998554e-08,50315629.9916939
