"","y.np","y.time","y.value","S.np","S.time","S.value","E.np","E.time","E.value","I.np","I.time","I.value","R.np","R.time","R.value","sigma.np","sigma.value","beta.np","beta.value","gamma.np","gamma.value","tau.np","tau.value","clock","loglikelihood.np","loglikelihood.value","logprior.np","logprior.value"
"1545",29,259,0.000265684241845392,29,259,1693.01330566406,29,259,0.00647460203617811,29,259,0.930488288402557,29,259,891259.1875,144,0.22405794262886,144,0.490215688943863,144,0.0669144690036774,144,0.997205197811127,11378,144,35.4468307495117,144,4.35335111618042
"1546",29,266,0.00044116765689677,29,266,1693.00891113281,29,266,0.00372987822629511,29,266,0.536037802696228,29,266,891259.5625,145,0.228689447045326,145,0.478527098894119,145,0.067944124341011,145,0.996084570884705,11378,145,35.8956527709961,145,3.67302060127258
"1547",29,273,3.67820990275482e-05,29,273,1693.00646972656,29,273,0.00214870809577405,29,273,0.308801859617233,29,273,891259.75,146,0.228689447045326,146,0.478527098894119,146,0.067944124341011,146,0.996084570884705,11378,146,35.8956527709961,146,3.67302060127258
"1548",29,280,3.117320509246e-05,29,280,1693.00500488281,29,280,0.00123782979790121,29,280,0.177895247936249,29,280,891259.875,147,0.228689447045326,147,0.478527098894119,147,0.067944124341011,147,0.996084570884705,11378,147,35.8956527709961,147,3.67302060127258
"1549",29,287,5.22305065610102e-05,29,287,1693.00415039062,29,287,0.000713090819772333,29,287,0.102482289075851,29,287,891259.9375,148,0.228689447045326,148,0.478527098894119,148,0.067944124341011,148,0.996084570884705,11378,148,35.8956527709961,148,3.67302060127258
"1550",29,294,1.96543928020922e-05,29,294,1693.00366210938,29,294,0.000410798616940156,29,294,0.0590382255613804,29,294,891260,149,0.228689447045326,149,0.478527098894119,149,0.067944124341011,149,0.996084570884705,11378,149,35.8956527709961,149,3.67302060127258
"1551",29,301,2.40165844214944e-05,29,301,1693.00341796875,29,301,0.000236653664615005,29,301,0.0340108685195446,29,301,891260,150,0.228689447045326,150,0.478527098894119,150,0.067944124341011,150,0.996084570884705,11378,150,35.8956527709961,150,3.67302060127258
"1552",29,308,9.41217040322071e-06,29,308,1693.00329589844,29,308,0.000136331931571476,29,308,0.0195930562913418,29,308,891260.0625,151,0.228689447045326,151,0.478527098894119,151,0.067944124341011,151,0.996084570884705,11378,151,35.8956527709961,151,3.67302060127258
"1553",29,315,3.04638633710866e-06,29,315,1693.00317382812,29,315,7.85383890615776e-05,29,315,0.0112872114405036,29,315,891260.0625,152,0.228689447045326,152,0.478527098894119,152,0.067944124341011,152,0.996084570884705,11378,152,35.8956527709961,152,3.67302060127258
"1554",29,322,2.82773104180804e-06,29,322,1693.00317382812,29,322,4.52445638075005e-05,29,322,0.00650236150249839,29,322,891260.0625,153,0.238516971468925,153,0.479353308677673,153,0.0690681487321854,153,0.985986709594727,11378,153,36.3197746276855,153,2.87551259994507
"1555",29,329,2.12777894418933e-07,29,329,1693.00305175781,29,329,2.60645865637343e-05,29,329,0.00374589464627206,29,329,891260.0625,154,0.255561590194702,154,0.466599822044373,154,0.0680270567536354,154,0.994632661342621,11378,154,37.3675346374512,154,0.420831441879272
"1556",29,336,1.01157112458477e-06,29,336,1693.00305175781,29,336,1.50153437061817e-05,29,336,0.00215794309042394,29,336,891260.0625,155,0.247089982032776,155,0.470775842666626,155,0.0709423422813416,155,0.983130931854248,11378,155,36.8198928833008,155,1.66044914722443
"1557",29,343,1.64451140448694e-07,29,343,1693.00305175781,29,343,8.65007223183056e-06,29,343,0.00124315265566111,29,343,891260.0625,156,0.210252359509468,156,0.503106653690338,156,0.0696863457560539,156,0.9638352394104,11378,156,32.9824371337891,156,5.31631994247437
"1558",29,350,6.63792258592795e-07,29,350,1693.00305175781,29,350,4.98315239383373e-06,29,350,0.000716158072464168,29,350,891260.0625,157,0.210252359509468,157,0.503106653690338,157,0.0696863457560539,157,0.9638352394104,11378,157,32.9824371337891,157,5.31631994247437
"1559",29,357,1.48491318694761e-08,29,357,1693.00305175781,29,357,2.87070520244015e-06,29,357,0.00041256591794081,29,357,891260.0625,158,0.210252359509468,158,0.503106653690338,158,0.0696863457560539,158,0.9638352394104,11378,158,32.9824371337891,158,5.31631994247437
"1560",29,364,9.63900457925232e-08,29,364,1693.00305175781,29,364,1.65376218319579e-06,29,364,0.000237671876675449,29,364,891260.0625,159,0.233374267816544,159,0.484989792108536,159,0.0662735998630524,159,0.953341484069824,11378,159,34.3265686035156,159,3.52098202705383
