"","time","t","S","E","I","R","x"
"174",174,174,16353035.0640345,632.818435261761,1295.10442008369,35841418.0131102,-0.378282118888322
"175",175,175,16352883.731269,548.262717382628,1157.34173889107,35841791.6642748,-0.398726301776841
"176",176,176,16352754.8847034,473.130564531259,1031.15742048038,35842121.8273116,-0.420278962245948
"177",177,177,16352645.3435582,406.94989580151,916.01831775274,35842412.6882283,-0.436564683162459
"178",178,178,16352551.9387211,349.371858794698,811.432980103574,35842668.25644,-0.447130916708477
"179",179,179,16352472.3624103,299.422020106428,716.885541489483,35842892.3300281,-0.462112546494638
"180",180,180,16352404.7820062,256.106585401578,631.760628582157,35843088.3507799,-0.474950482640116
"181",181,181,16352347.0965595,218.976495296735,555.432603791214,35843259.4943414,-0.476717565404993
"182",182,182,16352297.6973283,187.287070712441,487.305402569565,35843408.7101985,-0.483136115997964
"183",183,183,16352255.7113569,159.95423781675,426.712234618395,35843538.6221708,-0.498760079739479
"184",184,184,16352220.3996158,136.15277973747,372.938661762434,35843651.5089427,-0.521767686926532
"185",185,185,16352190.9575042,115.383807844077,325.286422479676,35843749.3722655,-0.547823980594395
"186",186,186,16352166.553489,97.330944012392,283.118177475917,35843833.9973895,-0.574876132787167
"187",187,187,16352146.4336057,81.7178232982939,245.866063276571,35843906.9825077,-0.603778735552368
"188",188,188,16352129.9650504,68.2582590680663,213.017978641091,35843969.7587119,-0.637190782890449
"189",189,189,16352116.5689004,56.7197219825954,184.109817059638,35844023.6015606,-0.669720099837298
"190",190,190,16352105.6802262,46.9337450462163,158.730180635392,35844069.6558482,-0.69656085530962
"191",191,191,16352096.7901695,38.739414224461,136.515655553998,35844108.9547608,-0.714445396522378
"192",192,192,16352089.4802934,31.9542818917894,117.140873213223,35844142.4245515,-0.724151572776085
"193",193,193,16352083.4166777,26.3871244617486,100.30728573098,35844170.8889121,-0.724150741453874
"194",194,194,16352078.3615347,21.8290583032431,85.7371733159751,35844195.0722337,-0.725925755695866
"195",195,195,16352074.1211765,18.107795530858,73.1688186552184,35844215.6022094,-0.715744813297195
"196",196,196,16352070.5295148,15.0822444679035,62.3633626943763,35844233.0248781,-0.702863626914883
"197",197,197,16352067.4711421,12.6174297007531,53.1012746758981,35844247.8101535,-0.687672787185726
"198",198,198,16352064.854606,10.6032492441285,45.1824614471809,35844260.3596833,-0.671359134538899
"199",199,199,16352062.6030573,8.95428058064005,38.4268655202495,35844271.0157966,-0.650765828916146
"200",200,200,16352060.653194,7.60180743216455,32.674818041815,35844280.0701805,-0.628760461015839
"201",201,201,16352058.9659112,6.47945083721277,27.7845463603986,35844287.7700916,-0.616713929650612
