"","np","time","value","q025","q25","q50","q75","q975","I"
"1566",42,84,1378210,1059283.625,1378210,1389670.25,1389670.25,1644326,1485052.3478977
"1567",42,91,585710.25,527128.0109375,585710.25,610422.25,610422.25,879548.699999999,675637.804582674
"1568",42,98,370750,263462.730078125,324283.6875,324283.6875,361160.0859375,372007.6375,329799.60270613
"1569",42,105,97188.421875,69429.8203125,95558.234375,95558.234375,97188.421875,109469.056640625,82921.7415631429
"1570",42,112,14231.4951171875,11102.0335449219,12902.85546875,12902.85546875,14231.4951171875,15984.6931152344,13423.6282566605
"1571",42,119,2345.82592773438,1410.89833984375,1708.65307617188,1708.65307617188,2108.43530273438,2345.82592773438,2061.46049426895
"1572",42,126,268.527465820312,165.471481323242,209.870361328125,209.870361328125,232.262840270996,268.527465820312,218.203871446511
"1573",42,133,20.9671096801758,15.8705251932144,20.6777019500732,20.6777019500732,20.9671096801758,23.0871315002441,24.4770958334742
"1574",42,140,1.73406803607941,1.304851770401,1.73406803607941,1.74985659122467,1.74985659122467,1.99371707439423,2.07823171359677
"1575",42,147,0.119001254439354,0.100071541965008,0.119001254439354,0.122722461819649,0.122722461819649,0.14853099361062,0.152085601577699
"1576",42,154,0.00936022400856018,0.00695630117552355,0.00775557663291693,0.00775557663291693,0.00936022400856018,0.0110736990813166,0.0116712559530973
"1577",42,161,0.000875319878105074,0.000647578309872188,0.00078551156911999,0.00078551156911999,0.00083143862138968,0.00095018994034035,0.000914511308300978
"1578",42,168,7.5959280366078e-05,6.32037856121315e-05,7.5959280366078e-05,7.61356568546034e-05,7.61356568546034e-05,8.61127442476572e-05,0.000107427912562344
"1579",42,175,5.80347932555014e-06,5.19157129019732e-06,5.80347932555014e-06,6.65721790937823e-06,6.65721790937823e-06,7.29586296301931e-06,7.36721297900734e-06
"1580",42,182,3.50671314208739e-07,3.28201657850968e-07,3.50671314208739e-07,3.97319212197544e-07,3.97319212197544e-07,5.05899676284116e-07,4.42791135103683e-07
"1581",42,189,2.77036793505658e-08,2.16654019169482e-08,2.16654019169482e-08,2.29072147917009e-08,2.77036793505658e-08,3.18008581245976e-08,3.60544370570134e-08
"1582",42,196,2.47726061886056e-09,1.89364235403389e-09,2.19090168229741e-09,2.19090168229741e-09,2.47726061886056e-09,2.71065436763251e-09,3.29599772192444e-09
"1583",42,203,2.50623022335361e-10,1.79142548017985e-10,2.33448871345132e-10,2.33448871345132e-10,2.50623022335361e-10,3.17931875271071e-10,3.32746790384839e-10
"1584",42,210,3.20417477273072e-11,2.15010345899075e-11,2.72649888777288e-11,2.72649888777288e-11,3.20417477273072e-11,3.34636793102028e-11,3.94250361358943e-11
"1585",42,217,3.36807751827317e-12,2.53510468368502e-12,2.78474400657036e-12,2.78474400657036e-12,3.33146243881519e-12,3.89797515012308e-12,4.23349977234202e-12
"1586",42,224,2.89071799266724e-13,2.50007615521311e-13,2.50007615521311e-13,2.71198889083626e-13,2.89071799266724e-13,3.77332698100378e-13,4.28509241603862e-13
"1587",42,231,3.36794021762055e-14,2.3851808030696e-14,3.32548353817238e-14,3.52871689659161e-14,3.85236852455065e-14,3.85236852455065e-14,3.60633783694895e-14
