"","time","S","E","I","R"
"259",259,108998.327520871,0.0323471616348789,0.0853317851529483,891001.554800183
"260",260,108998.323108855,0.0290871071824664,0.0767317676276836,891001.571072271
"261",261,108998.319141497,0.0261556118647509,0.0689984878370362,891001.585704404
"262",262,108998.315573982,0.0235195623965339,0.0620445931856159,891001.598861862
"263",263,108998.312366014,0.0211491827604805,0.0557915347412334,891001.610693269
"264",264,108998.309481355,0.0190176978657077,0.0501686799770562,891001.621332268
"265",265,108998.306887421,0.0171010311046291,0.0451125149327068,891001.630899033
"266",266,108998.304554913,0.0153775323905792,0.0405659267844141,891001.639501628
"267",267,108998.302457483,0.0138277336048267,0.0364775587194536,891001.647237225
"268",268,108998.300571439,0.0124341286877655,0.0328012298199735,891001.654193203
"269",269,108998.298875476,0.0111809759072013,0.0294954134506457,891001.660448135
"270",270,108998.297350439,0.0100541200520697,0.0265227682081033,891001.666072674
"271",271,108998.2959791,0.00904083265300589,0.0238497164247337,891001.671130352
"272",272,108998.294745969,0.00812966777309481,0.0214460637466488,891001.6756783
"273",273,108998.293637117,0.00731033308479116,0.019284659035845,891001.679767892
"274",274,108998.292640018,0.00657357364631143,0.0173410877734133,891001.683445321
"275",275,108998.291743411,0.00591106725002548,0.0155933959895615,891001.686752126
"276",276,108998.290937167,0.00531533042994753,0.0140218423120445,891001.689725661
"277",277,108998.290212178,0.0047796339286921,0.0126086749685787,891001.692399513
"278",278,108998.289560257,0.00429792668490464,0.0113379312661655,891001.694803886
"279",279,108998.288974038,0.00386476748339342,0.0101952572844979,891001.696965938
"280",280,108998.2884469,0.00347526349253935,0.0091677457379526,891001.698910091
"281",281,108998.287972889,0.00312501499641423,0.00824379017916287,891001.700658306
"282",282,108998.28754665,0.00281006569697018,0.00741295389638263,891001.70223033
"283",283,108998.287163369,0.00252685802491003,0.00666585202372038,891001.703643921
"284",284,108998.286818717,0.00227219295449272,0.00599404553272004,891001.704915045
"285",285,108998.286508799,0.00204319386833109,0.00538994590779557,891001.706058061
"286",286,108998.286230117,0.00183727406401453,0.00484672942878173,891001.70708588
"287",287,108998.28597952,0.00165210753552216,0.00435826009236497,891001.708010113
"288",288,108998.28575418,0.00148560269938131,0.00391902030173966,891001.708841198
"289",289,108998.28555155,0.00133587876879057,0.00352404854158468,891001.709588523
"290",290,108998.285369342,0.00120124450883659,0.00316888333435702,891001.710260531
