S.R deSolve,S.libbi value,E.R deSolve,E.libbi value,I.R deSolve,I.libbi value,R.R deSolve,R.libbi value
1880751.26,1437284.748,0.114973644,0.0658486,8.624730883,4.087168162,50315621,50759092.1
1880751.24,1437284.736,0.102064041,0.058602006,7.671264946,3.637379589,50315621.99,50759092.57
1880751.22,1437284.725,0.091923761,0.052152896,6.823352549,3.237089773,50315622.87,50759092.99
1880751.202,1437284.716,0.082383598,0.046413507,6.069275408,2.880851429,50315623.65,50759093.36
1880751.184,1437284.707,0.075604194,0.041305734,5.398804784,2.563816739,50315624.34,50759093.69
1880751.166,1437284.7,0.07127543,0.036760069,4.803040337,2.281671382,50315624.96,50759093.98
1880751.148,1437284.693,0.067358779,0.032714651,4.273779906,2.030575826,50315625.51,50759094.24
1880751.132,1437284.687,0.063003382,0.029114429,3.803533647,1.807113072,50315626,50759094.48
1880751.119,1437284.681,0.057503751,0.025910409,3.3853812,1.608242159,50315626.44,50759094.68
1880751.106,1437284.677,0.053543125,0.023058989,3.013589963,1.431256783,50315626.83,50759094.87
1880751.094,1437284.672,0.04964701,0.020521366,2.683032689,1.273748461,50315627.17,50759095.03
1880751.083,1437284.669,0.045764003,0.018263006,2.389093077,1.133573766,50315627.48,50759095.18
1880751.074,1437284.665,0.041001844,0.016253178,2.127503325,1.00882515,50315627.76,50759095.31
1880751.066,1437284.662,0.036425779,0.014464529,1.894563944,0.897804989,50315628,50759095.43
1880751.06,1437284.66,0.032305153,0.01287272,1.687107905,0.79900248,50315628.22,50759095.53
1880751.054,1437284.657,0.028660563,0.011456088,1.502340699,0.711073085,50315628.42,50759095.62
1880751.049,1437284.655,0.025527765,0.010195356,1.337812116,0.632820229,50315628.59,50759095.7
1880751.044,1437284.653,0.022385472,0.009073366,1.191262213,0.563179018,50315628.74,50759095.77
1880751.041,1437284.652,0.019581559,0.00807485,1.060695584,0.501201749,50315628.88,50759095.84
1880751.037,1437284.65,0.017268965,0.00718622,0.944391902,0.446045015,50315629,50759095.9
1880751.034,1437284.649,0.015315207,0.006395383,0.840823865,0.396958222,50315629.11,50759095.95
1880751.031,1437284.648,0.013580488,0.005691577,0.748595404,0.35327338,50315629.21,50759095.99
1880751.029,1437284.647,0.012299546,0.005065224,0.666503792,0.314396009,50315629.29,50759096.03
1880751.026,1437284.646,0.01114317,0.004507801,0.593456229,0.279797053,50315629.37,50759096.07
1880751.024,1437284.645,0.009941213,0.004011721,0.528432655,0.249005676,50315629.44,50759096.1
1880751.022,1437284.644,0.008792459,0.003570235,0.470526835,0.221602858,50315629.5,50759096.13
1880751.021,1437284.644,0.007826072,0.003177334,0.41895892,0.197215692,50315629.55,50759096.16
1880751.019,1437284.643,0.007057929,0.002827671,0.37305417,0.175512309,50315629.6,50759096.18
1880751.018,1437284.642,0.006332691,0.002516489,0.332191817,0.15619736,50315629.64,50759096.2
1880751.017,1437284.642,0.00566532,0.002239552,0.295811259,0.139008002,50315629.68,50759096.22
1880751.016,1437284.642,0.005079101,0.001993091,0.263421902,0.123710314,50315629.72,50759096.23
1880751.015,1437284.641,0.004503136,0.001773753,0.234581235,0.110096122,50315629.75,50759096.25
1880751.014,1437284.641,0.003927641,0.001578553,0.208885241,0.097980157,50315629.77,50759096.26
1880751.013,1437284.641,0.003484169,0.001404835,0.185995422,0.087197541,50315629.8,50759096.27
1880751.012,1437284.64,0.003119,0.001250234,0.165616663,0.077601542,50315629.82,50759096.28
1880751.012,1437284.64,0.002736517,0.001112647,0.147467003,0.069061572,50315629.84,50759096.29
1880751.012,1437284.64,0.002393918,0.000990202,0.131298681,0.061461417,50315629.85,50759096.3
1880751.011,1437284.64,0.002079546,0.000881231,0.116894009,0.054697651,50315629.87,50759096.3
1880751.011,1437284.64,0.001805027,0.000784252,0.104059563,0.048678231,50315629.88,50759096.31
1880751.01,1437284.639,0.001597072,0.000697946,0.092629546,0.043321242,50315629.9,50759096.32
1880751.01,1437284.639,0.001421924,0.000621138,0.082454715,0.038553784,50315629.91,50759096.32
1880751.01,1437284.639,0.001249496,0.000552782,0.073396226,0.034310979,50315629.92,50759096.33
1880751.01,1437284.639,0.00107728,0.000491949,0.065327386,0.030535091,50315629.92,50759096.33
1880751.01,1437284.639,0.000937166,0.000437811,0.058139935,0.027174736,50315629.93,50759096.33
1880751.009,1437284.639,0.000833549,0.00038963,0.051741869,0.024184184,50315629.94,50759096.34
1880751.009,1437284.639,0.000733339,0.000346752,0.046047151,0.02152274,50315629.94,50759096.34
1880751.009,1437284.639,0.000633336,0.000308592,0.040976343,0.019154184,50315629.95,50759096.34
1880751.009,1437284.639,0.000544629,0.000274632,0.036460171,0.017046286,50315629.95,50759096.34
1880751.009,1437284.639,0.000471387,0.000244409,0.032438897,0.01517036,50315629.96,50759096.35
1880751.009,1437284.639,0.000406472,0.000217512,0.028858512,0.013500877,50315629.96,50759096.35
1880751.009,1437284.639,0.000354282,0.000193575,0.025671569,0.012015119,50315629.97,50759096.35
1880751.009,1437284.639,0.000307217,0.000172272,0.022835085,0.010692868,50315629.97,50759096.35
1880751.009,1437284.638,0.00026676,0.000153314,0.020310648,0.009516129,50315629.97,50759096.35
1880751.009,1437284.638,0.000232502,0.000136442,0.01806421,0.008468889,50315629.97,50759096.35
1880751.009,1437284.638,0.00020429,0.000121426,0.016065587,0.007536896,50315629.98,50759096.35
1880751.009,1437284.638,0.000180079,0.000108064,0.014287716,0.006707468,50315629.98,50759096.35
1880751.009,1437284.638,0.000159019,9.62E-05,0.012706336,0.005969318,50315629.98,50759096.36
1880751.009,1437284.638,0.000141107,8.56E-05,0.011299804,0.005312401,50315629.98,50759096.36
1880751.009,1437284.638,0.000127818,7.62E-05,0.010049177,0.004727777,50315629.98,50759096.36
1880751.009,1437284.638,0.000117335,6.78E-05,0.008937599,0.00420749,50315629.98,50759096.36
1880751.008,1437284.638,0.000106575,6.03E-05,0.007949522,0.00374446,50315629.98,50759096.36
1880751.008,1437284.638,9.61E-05,5.37E-05,0.007070985,0.003332386,50315629.98,50759096.36
1880751.008,1437284.638,8.71E-05,4.78E-05,0.006289824,0.00296566,50315629.99,50759096.36
1880751.008,1437284.638,7.86E-05,4.25E-05,0.00559526,0.002639292,50315629.99,50759096.36
1880751.008,1437284.638,6.94E-05,3.78E-05,0.004977408,0.002348841,50315629.99,50759096.36
1880751.008,1437284.638,6.10E-05,3.37E-05,0.004427666,0.002090353,50315629.99,50759096.36
1880751.008,1437284.638,5.34E-05,3.00E-05,0.003938469,0.001860312,50315629.99,50759096.36
1880751.008,1437284.638,4.69E-05,2.67E-05,0.003503207,0.001655587,50315629.99,50759096.36
1880751.008,1437284.638,4.05E-05,2.37E-05,0.003115851,0.001473391,50315629.99,50759096.36
