"","time","x","S","E","I","R","Z"
"196",196,-3.23137312708423,51514893.1222831,2.16864179286253e-06,9.51493272691132e-05,4462041.97237041,112.826649691354
"197",197,-3.23137312708423,51514893.1222827,1.98700515908581e-06,8.71800058403012e-05,4462041.97237817,112.826650106643
"198",198,-3.23137312708423,51514893.1222824,1.82058167241357e-06,7.9878162423487e-05,4462041.97238529,112.826650487148
"199",199,-3.23137312708423,51514893.122282,1.66809714146154e-06,7.31878917726206e-05,4462041.9723918,112.826650835784
"200",200,-3.23137312708423,51514893.1222817,1.52838409587188e-06,6.70579710349841e-05,4462041.97239778,112.82665115522
"201",201,-3.23137312708423,51514893.1222814,1.40037284787098e-06,6.14414675763438e-05,4462041.97240325,112.826651447901
"202",202,-3.23137312708423,51514893.1222812,1.28308330239173e-06,5.62953796494302e-05,4462041.97240826,112.826651716068
"203",203,-3.23137312708423,51514893.1222809,1.17561745315141e-06,5.1580307158771e-05,4462041.97241286,112.826651961774
"204",204,-3.23137312708423,51514893.1222807,1.07715250722845e-06,4.72601500009618e-05,4462041.97241707,112.826652186902
"205",205,-3.23137312708423,51514893.1222805,9.86934585496584e-07,4.33018316707254e-05,4462041.97242093,112.826652393173
"206",206,-3.23137312708423,51514893.1222803,9.04272950685092e-07,3.96750460166054e-05,4462041.97242446,112.826652582168
"207",207,-3.23137312708423,51514893.1222801,8.28534718873273e-07,3.63520252073758e-05,4462041.9724277,112.826652755334
"208",208,-3.23137312708423,51514893.12228,7.59140013928686e-07,3.33073271326417e-05,4462041.97243066,112.826652913996
"209",209,-3.23137312708423,51514893.1222798,6.95557527789963e-07,3.05176406099024e-05,4462041.97243338,112.826653059369
"210",210,-3.23137312708423,51514893.1222797,6.37300452602323e-07,2.79616069066813e-05,4462041.97243587,112.826653192566
"211",211,-3.23137312708423,51514893.1222796,5.83922517944677e-07,2.56196458735564e-05,4462041.97243815,112.826653314608
"212",212,-3.23137312708423,51514893.1222795,5.34986646152688e-07,2.3472580694023e-05,4462041.97244024,112.826653426493
"213",213,-3.23137312708423,51514893.1222794,4.90150226278674e-07,2.15053792861145e-05,4462041.97244216,112.826653529006
"214",214,-3.23137312708423,51514893.1222793,4.49071719323182e-07,1.97030565996758e-05,4462041.97244392,112.826653622926
"215",215,-3.23137312708423,51514893.1222792,4.1143592399113e-07,1.80517831533791e-05,4462041.97244553,112.826653708976
"216",216,-3.23137312708423,51514893.1222791,3.76954308295949e-07,1.65388995838808e-05,4462041.972447,112.826653787813
"217",217,-3.23137312708423,51514893.1222791,3.45362527316361e-07,1.51528077372076e-05,4462041.97244835,112.826653860044
"218",218,-3.23137312708423,51514893.122279,3.16418389841204e-07,1.388288145514e-05,4462041.97244959,112.826653926221
"219",219,-3.23137312708423,51514893.1222789,2.89900002202602e-07,1.27193851357481e-05,4462041.97245072,112.826653986852
"220",220,-3.23137312708423,51514893.1222789,2.65604067194847e-07,1.16533990983256e-05,4462041.97245176,112.826654042401
"221",221,-3.23137312708423,51514893.1222788,2.43344325541407e-07,1.06767512026333e-05,4462041.97245271,112.826654093295
"222",222,-3.23137312708423,51514893.1222788,2.22950127980386e-07,9.78195419903804e-06,4462041.97245358,112.826654139924
"223",223,-3.23137312708423,51514893.1222787,2.04265127020653e-07,8.96214832921066e-06,4462041.97245438,112.826654182644
"224",224,-3.23137312708423,51514893.1222787,1.87146078339252e-07,8.21104873734454e-06,4462041.97245511,112.826654221785
"225",225,-3.23137312708423,51514893.1222787,1.71461742631282e-07,7.52289728873361e-06,4462041.97245578,112.826654257645
